hv001,hv002,hv009,hv010,hv011,hv012,hv014,hv024,hv025,hv027,hv206,hv201,hv204,hv205,hv225,hv226,hv213,hv207,hv208,hv243a,hv221,hv210,hv211,hv212,hv243c,hv243d,hv209,hv244,hv245,hv246,hv247
3,399,2,1,0,2,1,1,1,0,1,12,996.0,22,1.0,7,34,0,0,1,0,0.0,0.0,0.0,0,0,0,1,100.0,0,1
3,422,4,1,0,4,0,1,1,0,0,13,996.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,50.0,0,0
3,444,6,2,1,3,1,1,1,1,0,13,996.0,24,0.0,7,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,30.0,0,1
3,467,8,2,0,4,0,1,1,0,0,13,996.0,24,0.0,7,34,1,0,1,0,0.0,0.0,0.0,0,0,0,0,,1,1
3,490,1,0,0,1,0,1,1,0,0,12,996.0,24,1.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,350.0,1,0
4,1,6,1,1,6,1,1,2,1,0,13,996.0,24,0.0,8,34,1,0,1,0,0.0,0.0,0.0,0,0,0,1,50.0,1,1
4,9,2,0,0,2,0,1,2,0,0,31,10.0,21,0.0,7,34,1,0,1,0,1.0,0.0,0.0,0,0,0,1,40.0,0,1
4,17,1,0,0,1,0,1,2,0,0,14,60.0,24,0.0,7,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,20.0,0,1
4,24,4,2,1,2,0,1,2,1,0,42,60.0,24,0.0,7,34,1,0,1,0,0.0,0.0,0.0,0,0,0,1,30.0,1,1
4,32,5,1,0,5,0,1,2,0,0,42,10.0,22,0.0,8,34,1,1,1,0,1.0,0.0,0.0,0,0,0,1,10.0,1,1
4,40,1,0,0,1,0,1,2,0,0,14,10.0,31,,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,30.0,0,0
4,48,5,0,1,5,0,1,2,1,0,13,996.0,24,0.0,8,11,0,0,1,0,1.0,0.0,0.0,0,0,0,1,30.0,1,0
4,55,7,3,0,6,1,1,2,0,0,42,60.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,5.0,1,1
