DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
TZ201500000254,254,7567.20752,8863.851563,602.1792411,705.3628955,8016.5714290000005,0.012928526000000001,7.0,3046.0,2989.0,25.57142857,8.0,0.378554021,0.539092769,0.062723748,0.081404798,0.583131724,1522.285714,26815.20582,145141.5957,76338.35062000001,1013.0,1211.0,86.85714286
TZ201500000255,255,30771.96289,36044.75391,97.95020005,114.73401509999998,7230.808000000001,0.015411147,7.0,2703.1,2705.6,33.02406417,7.0,0.35992417299999996,0.523100024,0.078666687,0.098930065,0.016579595,1671.848,83576.74026,65730.38928999999,81955.76062999999,659.2,723.2,103.6417112
TZ201500000256,256,48032.67188,56263.08984,3822.3185799999997,4477.274431,7174.133333,0.52856946,7.0,2507.0,2533.0,71.06666667,7.0,0.316415603,0.463211431,0.039526738,0.056203830999999996,2.616234334,1439.133333,67230.37511000001,105399.234,84380.4946,981.0,1019.0,2.0
TZ201500000257,257,38783.69922,45429.30469,3086.308721,3615.1492009999997,7199.0,0.5975772420000001,7.0,2507.0,2533.0,64.5,7.0,0.332921604,0.485979995,0.049023077000000005,0.070098482,3.7151082360000003,1442.0,66000.97921,104095.1216,84804.2562,847.0,896.0,5.3571428569999995
TZ201500000258,258,70951.98438,83109.64063,5646.179518,6613.655062,6994.9285709999995,0.756768584,7.0,2507.0,2533.0,77.57142857,7.0,0.332921604,0.485979995,0.049023077000000005,0.070098482,4.098695848999999,1449.785714,65947.27227,106593.5782,85568.80536,847.0,896.0,1.785714286
TZ201500000259,259,18399.46094,21552.21875,58.56730318,68.60284297,5564.249322,1.89e-05,4.0,3036.8,3103.6,28.40650407,8.0,0.4528697,0.576455674,0.09806126800000001,0.104756429,0.0,1746.8915989999998,61734.63855,147483.04,28099.74693,706.7272727000001,837.7272727000001,210.32791329999998
TZ201500000260,260,4520.091797,5294.611328,359.69747639999997,421.3317823,7274.357143000001,0.032142696,7.0,2757.0,2804.0,45.57142857,8.0,0.37416484899999997,0.540007407,0.080030307,0.102310725,0.325599046,1570.5,10195.62503,141797.7454,88225.41176,790.0,905.0,93.78571429
TZ201500000261,261,14277.10059,16723.48633,45.44542264,53.2325103,4277.433604,0.00039514199999999997,2.0,2385.5,2355.3,23.78861789,7.0,0.38493865,0.514527878,0.10520125300000001,0.049470744000000004,0.0,1683.260163,325128.2709,118145.9528,61137.80372999999,750.0,741.7,164.7398374
TZ201500000262,262,8659.650391,10143.48535,27.5645233,32.28771667,4340.646575,0.00028381799999999997,2.0,1740.7777780000001,1873.2222219999999,29.57650273,7.0,0.43132856,0.547738734,0.094823403,0.04570637,0.0,1680.8301370000001,284622.8187,76185.275,28759.8274,827.6666667000001,773.6666667000001,64.61917808
TZ201500000263,263,25241.75391,29566.941410000003,80.34699814,94.11449755,4772.401084,0.000277995,2.0,2479.5,2459.333333,29.83695652,7.0,0.384425309,0.506826931,0.098665357,0.052947653,0.010580021,1603.127371,307099.6203,106843.5496,51406.11881,768.2727272999999,705.0909091,89.1897019
TZ201500000264,264,17487.81836,20484.36523,55.66545472,65.20375965,4644.335999999999,0.000471411,2.0,2238.583333,2299.333333,22.8537234,7.0,0.320541361,0.43838931200000003,0.08266121900000001,0.052913297000000005,0.000188911,1548.776,288323.8777,117644.6504,8051.628490000001,696.2,592.4,154.784
TZ201500000265,265,18304.02734,21440.43164,58.26352859,68.24701355,4348.254054,0.000121103,3.5,2351.833333,2452.75,26.41621622,7.0,0.328558436,0.446282454,0.08833513900000001,0.055850433,0.0,1574.6540539999999,308543.9424,120140.002,15864.897340000001,667.75,627.5833332999999,75.62702703
TZ201500000266,266,20224.69141,23690.20313,64.37719221,75.40825862,4462.933155,0.000112519,2.0,2462.166667,2549.666667,28.00539084,7.0,0.321041391,0.443745826,0.09797903699999999,0.05914406,0.003106189,1574.3663099999999,313591.0647,137278.7775,7944.650640999999,697.9,630.1,113.05614969999999
TZ201500000267,267,25633.85156,30026.2207,81.59508373,95.57642894,4366.439024,0.000333183,2.0,2394.6,2517.0,27.03513514,7.0,0.33494152,0.45918846,0.106617957,0.06254422700000001,0.0063717819999999994,1609.02981,314706.2353,135349.4184,16896.32549,732.2222222,609.4444444000001,136.5540541
TZ201500000268,268,4204.630859000001,4925.095703,334.5938925,391.92666319999995,3610.357143,0.047762106,4.0,2848.0,2679.0,55.64285714,7.0,0.511639754,0.645480064,0.113444299,0.06658674,1.290229797,1695.642857,393323.6775,77977.68794,104146.3412,580.0,604.0,99.28571429
TZ201500000269,269,4772.660156,5590.457031,15.19184911,17.79497741,3240.847185,0.000242697,6.857142857,2467.3,2530.5,25.31635389,6.0,0.523358432,0.6559584279999999,0.08126556900000001,0.05679994,0.0,1794.273458,392480.9472,50590.14173,143834.8862,481.7,505.8,183.9115282
TZ201500000270,270,8928.664063,10458.5957,28.42082042,33.29074407,3237.991848,1.1900000000000001e-05,9.0,2679.7,2751.5,22.49318801,6.0,0.508259433,0.644111876,0.140305817,0.10702748599999999,0.0,1738.0679350000003,359324.2313,24981.54366,183318.4781,504.2,615.7,226.81793480000002
TZ201500000271,271,2582.821045,3025.388672,8.221374728999999,9.630111238,3381.4592390000003,0.0,8.375,2895.1,3063.5,20.80926431,6.0,0.491932101,0.6171965079999999,0.147526056,0.095617883,0.0,1725.918478,361991.217,102530.8803,92428.19119,625.6,685.7,230.6467391
TZ201500000272,272,28233.589839999997,33071.42969,89.87030769,105.26963020000001,4412.484932,0.000223702,2.0,2471.0,2551.5,31.3579235,7.0,0.319721614,0.44215229899999997,0.097603849,0.058612805999999996,0.021496737000000002,1582.567123,317446.8215,140438.5949,4098.9315289999995,703.2,620.2,92.03835616
TZ201500000273,273,2959.173828,3466.2294920000004,235.4835711,275.8337788,4290.0,0.003925884,2.0,1795.0,1981.0,58.53333333,7.0,0.319034943,0.43979788799999997,0.08050096799999999,0.047344528,0.205832999,1601.4,326195.7478,146985.9533,0.0,708.0,602.0,12.06666667
TZ201500000274,274,45211.94531,52959.03125,3597.8522909999997,4214.345802000001,4265.25,0.155090163,2.0,2569.0,2676.0,57.0,7.0,0.32719715899999996,0.44875181700000005,0.080200642,0.044364661,3.154074833,1601.4375,330683.3433,150394.6564,1697.7014149999998,729.0,613.0,2.3125
TZ201500000275,275,26016.24219,30474.13672,82.8122709,97.00218991,4023.87062,0.000711017,3.571428571,2464.888889,2612.666667,25.30810811,7.0,0.35123945700000003,0.47632531200000006,0.09919187900000001,0.057997938,0.0072706609999999994,1598.932615,352219.8774,140404.2821,26255.04336,673.8,585.7,70.83827493
TZ201500000276,276,1669.7192380000001,1955.826416,132.8720352,155.639721,4188.466667000001,0.0051304409999999995,2.0,2294.0,2407.0,28.0,7.0,0.34421511299999996,0.466350734,0.110646755,0.070089221,0.102155279,1573.666667,337194.6112,141323.1253,21204.47594,674.0,609.0,31.13333333
TZ201500000277,277,23948.51953,28052.10938,76.23050526,89.29263744,3767.0519130000002,4.03e-06,4.0,2749.3,2806.9,28.66939891,7.0,0.388609937,0.5149118570000001,0.10978334699999999,0.068620205,0.0,1623.8415300000001,355566.3336,132024.2732,45648.216510000006,674.5,668.2,130.3087432
TZ201500000278,278,21548.875,25241.2832,68.59219949,80.34549983,3965.142473,0.000321107,4.0,2605.4,2756.2,25.9463807,7.0,0.355490666,0.481442606,0.106362351,0.061030312,0.002912231,1609.889785,357094.9928,135793.6699,29652.059680000002,660.4,586.8,72.11290323
TZ201500000279,279,23545.47656,27580.003910000003,74.94757964,87.78987906,4237.196185,2.51e-05,2.0,2595.2,2660.0,24.11171662,7.0,0.343748706,0.470686675,0.111290264,0.05395642900000001,0.001138434,1622.8228880000001,341104.1793,155231.2429,21754.90741,736.8,642.3,92.9972752
TZ201500000280,280,23833.75,27917.67383,75.86518249999999,88.86471579,4709.097561,4.44e-05,2.0,2329.9,2401.1,18.40379404,7.0,0.35259804100000003,0.47089867399999996,0.082351378,0.048821607,0.004932869,1554.00271,276899.8902,99809.50388999999,32533.58898,753.8,640.2,213.11111110000002
TZ201500000281,281,27598.52148,32327.54102,87.84882231,102.901759,4629.9407009999995,1.87e-05,2.0,2501.0,2580.6,19.22641509,7.0,0.353036509,0.47224739200000004,0.08956305199999999,0.052917234,0.001954635,1570.005391,285584.459,106546.8199,30672.839239999998,765.3333332999999,654.75,166.3908356
TZ201500000282,282,20440.51953,23943.01172,65.06419445,76.21297335,4874.758152,2.52e-05,2.0,2915.7,2777.6,40.96195652,8.0,0.5064438179999999,0.648490813,0.14987150800000001,0.064626924,0.0014088129999999999,1728.220109,305156.7762,135226.5172,175075.3625,817.8,834.8,93.89402174
