hv001,hv002,total_household_members,hv010,hv011,hv012,hv014,hv024,hv025,hv027,financial_depriv,electricity_depriv,water_depriv,sanitation_depriv,cooking_fuel_depriv,floor_depriv,information_asset,mobility_asset,livelihood_asset,asset_depriv,hv108,malnutrition,child_under_5,woman_15_to_49,child_not_in_school,school_attainment_depriv,school_attendance_depriv,child_mortailty,total_of_weighted_deprivations,headcount_poor,total_poverty_intensity,DHSID_num,ADM1NAME,LATNUM,LONGNUM,geometry,index_right,COUNTRY,ADMIN0,ADM1_PCODE,REG_ID,REGION,REG_REPORT,SOURCE,Pop12,Male12,Female12,hh_size,sex_ratio,Shape_Leng,Shape_Area
2,102,4,1,0,4,1,1,2,0,1,1,1,1,1,1,0,0,0,1,1.0,1.0,1,1,1,0,1,0.0,0.6666666666666667,4,2.666666666666667,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
2,119,8,2,0,8,0,1,2,0,0,1,1,1,1,1,1,1,1,0,2.0,0.0,0,1,0,0,0,0.0,0.2777777777777778,0,0.0,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
2,128,7,2,0,7,1,1,2,0,1,1,1,1,1,1,1,1,1,0,3.0,2.0,1,1,1,0,1,0.0,0.7777777777777779,7,5.4444444444444455,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
2,136,7,1,0,7,2,1,2,0,1,1,1,1,1,0,1,1,1,0,2.0,0.0,1,1,0,0,0,0.0,0.2222222222222222,0,0.0,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
2,153,5,1,0,5,1,1,2,0,1,1,1,1,1,1,1,1,1,0,2.0,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
2,162,8,2,0,8,2,1,2,0,1,1,1,1,1,1,1,1,1,0,2.0,3.0,1,1,0,0,0,1.0,0.9444444444444445,8,7.555555555555556,2,Dodoma,-4.364093,35.852918,POINT (35.852918 -4.364093),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,13,6,1,2,6,0,1,1,1,0,0,0,1,1,0,1,1,1,0,4.0,0.0,0,1,0,0,0,0.0,0.1111111111111111,0,0.0,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,36,3,1,0,3,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0.0,0.0,0,1,0,1,0,0.0,0.44444444444444453,3,1.3333333333333335,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,59,2,1,0,2,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1.0,0.0,0,1,0,0,0,0.0,0.2222222222222222,0,0.0,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,82,5,1,0,5,2,1,1,1,1,1,0,1,1,1,1,0,1,0,2.0,0.0,1,1,0,0,0,0.0,0.2222222222222222,0,0.0,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,104,10,5,0,9,1,1,1,0,1,1,0,1,1,0,1,1,1,0,7.0,1.0,1,1,0,0,0,2.0,0.6666666666666667,10,6.666666666666668,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,127,5,1,0,5,2,1,1,0,0,0,0,0,1,0,1,1,0,0,2.0,0.0,1,1,0,0,0,0.0,0.05555555555555555,0,0.0,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,150,6,1,1,5,3,1,1,1,1,1,0,1,1,1,1,0,1,0,2.0,2.0,1,1,1,0,1,0.0,0.7222222222222223,6,4.333333333333334,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,172,7,1,0,7,2,1,1,0,0,1,0,1,1,1,1,0,1,0,2.0,0.0,1,1,1,0,1,0.0,0.38888888888888895,7,2.7222222222222228,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,195,7,1,0,5,2,1,1,0,1,1,0,1,1,1,1,0,1,0,1.0,1.0,1,1,0,0,0,0.0,0.38888888888888895,7,2.7222222222222228,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,218,2,1,1,2,0,1,1,1,0,0,0,0,1,0,1,1,1,0,2.0,1.0,0,1,0,0,0,0.0,0.2222222222222222,0,0.0,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,240,5,2,0,5,0,1,1,0,1,1,0,1,1,1,1,0,0,1,2.0,0.0,0,1,0,0,0,0.0,0.2777777777777778,0,0.0,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,263,7,1,0,7,1,1,1,0,1,1,0,1,1,1,1,0,0,1,4.0,1.0,1,1,1,0,1,0.0,0.6111111111111112,7,4.277777777777779,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,308,8,1,0,8,2,1,1,0,1,0,0,1,1,0,1,1,0,0,3.0,0.0,1,1,0,0,0,0.0,0.1111111111111111,0,0.0,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,354,4,2,0,4,0,1,1,0,0,0,0,0,1,0,1,1,1,0,4.0,1.0,0,1,0,0,0,0.0,0.2222222222222222,0,0.0,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,376,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1.0,0.0,0,1,0,0,0,0.0,0.16666666666666666,0,0.0,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,422,4,1,0,4,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1.0,1.0,0,1,0,0,0,0.0,0.44444444444444453,4,1.7777777777777781,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,444,6,2,1,3,1,1,1,1,0,1,0,1,1,1,1,0,1,0,3.0,0.0,1,1,0,0,0,0.0,0.2222222222222222,0,0.0,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
3,467,8,2,0,4,0,1,1,0,0,1,0,1,1,0,1,0,1,0,5.0,0.0,1,1,0,0,0,0.0,0.16666666666666666,0,0.0,3,Dodoma,-4.903511,35.770286,POINT (35.770286 -4.903511),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
